record_id,student_id,year_level,counsellor_id,subject_1_name,subject_1_marks,subject_2_name,subject_2_marks,subject_3_name,subject_3_marks,total,grade,sgpa
REC000001,STU00001,1,1,Maths,70,Physics,67,Chemistry,75,212,A,8.1
REC000002,STU00001,2,2,Data Structures and Algorithms,70,Probability and Statistics,76,Java,77,223,A,7.87
REC000003,STU00001,3,3,Design and Analysis of Algorithm,94,Machine Learning,74,UI/UX,51,219,A,7.77
REC000004,STU00001,4,4,Data Warehousing and Data Mining,76,Data Science,76,Computer Architecture,59,211,A,8.08
REC000005,STU00002,1,1,Maths,53,Physics,46,Chemistry,51,150,B,6.14
REC000006,STU00002,2,2,Data Structures and Algorithms,98,Probability and Statistics,49,Java,76,223,A,8.11
REC000007,STU00002,3,3,Design and Analysis of Algorithm,56,Machine Learning,69,UI/UX,83,208,C,5.11
REC000008,STU00002,4,4,Data Warehousing and Data Mining,54,Data Science,64,Computer Architecture,84,202,B+,7.07
REC000009,STU00003,1,1,Maths,93,Physics,49,Chemistry,87,229,A,8.15
REC000010,STU00003,2,2,Data Structures and Algorithms,94,Probability and Statistics,76,Java,95,265,A+,8.98
REC000011,STU00003,3,3,Design and Analysis of Algorithm,63,Machine Learning,87,UI/UX,76,226,A,7.99
REC000012,STU00003,4,4,Data Warehousing and Data Mining,61,Data Science,79,Computer Architecture,66,206,B+,7.19
REC000013,STU00004,1,1,Maths,79,Physics,79,Chemistry,46,204,B+,7.27
REC000014,STU00004,2,2,Data Structures and Algorithms,47,Probability and Statistics,72,Java,52,171,B,5.93
REC000015,STU00004,3,3,Design and Analysis of Algorithm,65,Machine Learning,99,UI/UX,69,233,A,7.97
REC000016,STU00004,4,4,Data Warehousing and Data Mining,47,Data Science,47,Computer Architecture,56,150,B,6.03
REC000017,STU00005,1,1,Maths,100,Physics,94,Chemistry,64,258,A+,9.23
REC000018,STU00005,2,2,Data Structures and Algorithms,55,Probability and Statistics,76,Java,72,203,B+,6.78
REC000019,STU00005,3,3,Design and Analysis of Algorithm,90,Machine Learning,69,UI/UX,76,235,A,8.16
REC000020,STU00005,4,4,Data Warehousing and Data Mining,81,Data Science,88,Computer Architecture,76,245,A+,9.1
REC000021,STU00006,1,1,Maths,88,Physics,79,Chemistry,81,248,A+,8.98
REC000022,STU00006,2,2,Data Structures and Algorithms,80,Probability and Statistics,99,Java,55,234,A,8
REC000023,STU00006,3,3,Design and Analysis of Algorithm,70,Machine Learning,61,UI/UX,76,207,B+,7.05
REC000024,STU00006,4,4,Data Warehousing and Data Mining,69,Data Science,84,Computer Architecture,88,241,A+,8.91
REC000025,STU00007,1,1,Maths,63,Physics,65,Chemistry,48,176,B,5.72
REC000026,STU00007,2,2,Data Structures and Algorithms,47,Probability and Statistics,53,Java,98,198,B+,6.92
REC000027,STU00007,3,3,Design and Analysis of Algorithm,96,Machine Learning,92,UI/UX,82,270,O,9.72
REC000028,STU00007,4,4,Data Warehousing and Data Mining,85,Data Science,66,Computer Architecture,69,220,A,7.76
REC000029,STU00008,1,1,Maths,67,Physics,67,Chemistry,71,205,B+,6.91
REC000030,STU00008,2,2,Data Structures and Algorithms,87,Probability and Statistics,60,Java,60,207,B+,6.84
REC000031,STU00008,3,3,Design and Analysis of Algorithm,64,Machine Learning,82,UI/UX,50,196,B+,7.25
REC000032,STU00008,4,4,Data Warehousing and Data Mining,49,Data Science,100,Computer Architecture,64,213,A,7.77
REC000033,STU00009,1,1,Maths,55,Physics,46,Chemistry,79,180,B+,6.9
REC000034,STU00009,2,2,Data Structures and Algorithms,74,Probability and Statistics,87,Java,100,261,A+,8.95
REC000035,STU00009,3,3,Design and Analysis of Algorithm,77,Machine Learning,71,UI/UX,62,210,A,7.71
REC000036,STU00009,4,4,Data Warehousing and Data Mining,75,Data Science,82,Computer Architecture,46,203,B+,7.29
REC000037,STU00010,1,1,Maths,69,Physics,81,Chemistry,69,219,A,7.89
REC000038,STU00010,2,2,Data Structures and Algorithms,51,Probability and Statistics,96,Java,76,223,A,7.76
REC000039,STU00010,3,3,Design and Analysis of Algorithm,88,Machine Learning,58,UI/UX,66,212,A,8
REC000040,STU00010,4,4,Data Warehousing and Data Mining,96,Data Science,93,Computer Architecture,87,276,O,9.9
REC000041,STU00011,1,1,Maths,84,Physics,64,Chemistry,68,216,A,8.28
REC000042,STU00011,2,2,Data Structures and Algorithms,57,Probability and Statistics,76,Java,85,218,A,8.21
REC000043,STU00011,3,3,Design and Analysis of Algorithm,95,Machine Learning,49,UI/UX,98,242,A+,9.21
REC000044,STU00011,4,4,Data Warehousing and Data Mining,58,Data Science,63,Computer Architecture,61,182,B+,6.73
REC000045,STU00012,1,1,Maths,81,Physics,70,Chemistry,96,247,A+,8.84
REC000046,STU00012,2,2,Data Structures and Algorithms,92,Probability and Statistics,50,Java,90,232,A,8.21
REC000047,STU00012,3,3,Design and Analysis of Algorithm,51,Machine Learning,82,UI/UX,66,199,B+,6.86
REC000048,STU00012,4,4,Data Warehousing and Data Mining,81,Data Science,96,Computer Architecture,78,255,A+,8.99
REC000049,STU00013,1,1,Maths,58,Physics,67,Chemistry,95,220,A,7.75
REC000050,STU00013,2,2,Data Structures and Algorithms,97,Probability and Statistics,64,Java,77,238,C,5.18
REC000051,STU00013,3,3,Design and Analysis of Algorithm,72,Machine Learning,87,UI/UX,79,238,C,4.89
